Type,Label
Painting,A Beautiful Day
Painting,A Distant View of Ancient City
Painting,A Distant View of Guanyin Mountain
Painting,A Distant View of the Monopoly Bureau
Painting,A Seated Figure
Painting,Abbey of Santa Lucia
Painting,Accordion
Painting,African Woman
Painting,After Singing
Painting,Afternoon at the Silk Shop
Painting,Air Raid Drills
Painting,Ali Mountain
Painting,Amoy Scenery
Painting,Ancient Houses in Hangzhou
Painting,Ancient Temple
Painting,Anping Scenery
Painting,Approach to the Shrine
Painting,At Dusk
Painting,At Dusk_2
Painting,At the Time
Painting,Autumn in Mcely
Painting,Autumn Sound
Painting,Backstreet
Painting,Backstreets of Sanxia
Painting,Bagua Mountain
Painting,Bamboo Fance
Painting,Banana Grove
Painting,Barthess Villa
Painting,Beach at Putuo Mountain
Painting,Beitou Hotspring
Painting,Bitan
Painting,Boudoir
Painting,Breakfast Table
Painting,By the Pond
Painting,By the Shinobatsu Pond
Painting,By the Window
Painting,By the Window-side
Painting,Camel
Painting,Canal
Painting,Cannes in Southern Europe
Painting,Celebration Day
Painting,Cemetery in Spring
Painting,Changing Attire
Painting,Chiayi Amusement Park
Painting,Chiayi Park
Painting,Chiayi Park_2
Painting,Chiayi Park_3
Painting,Chiayi Public Hall
Painting,Chiayi Street Scene
Painting,Chiayi Street Scene (related sketch)
Painting,Children in the Front Courtyard
Painting,Chou Lien-hsi
Painting,Church
Painting,Coconut Grove
Painting,Coming to Fruition
Painting,Courtyard
Painting,Courtyard at Dusk
Painting,Courtyard at Taipei Hospital
Painting,Courtyard with Banana Trees
Painting,Courtyard_2
Painting,Cows
Painting,Crowded Areas
Painting,Daguan Hall at Tamsui
Painting,Dahlia
Painting,Dajia River in Summer
Painting,Daughter
Painting,Daybreak by Seaside
Painting,Dongpu Bridge at West Lake
Painting,Downtown Chiayi
Painting,Early Autumn
Painting,Early Autumn_2
Painting,Early Spring
Painting,Early Spring in Paris
Painting,Early Summer
Painting,Easter Time
Painting,Echoey Valley
Painting,Eldest Grandson
Painting,Ensemble
Painting,Evening Glow
Painting,Evening Tides
Painting,Exuberant Garden
Painting,Female Nude
Painting,Female Nude Leaning by a Chair
Painting,Female Nude_2
Painting,Female Nude_3
Painting,Fierce Tiger Descending Mountain
Painting,Figure Sketch (172) - SB30 (40.10-41.7)
Painting,Fine Art Museum in Ueno
Painting,Flame Tree (Delonix Regia) - SB23: 37.6.21
Painting,Flame tree
Painting,Flower-Picking Women
Painting,Foliage
Painting,Fond of Peaches
Painting,Front Temple
Painting,Front Temple at Putuo Mountain
Painting,Fruits on Table
Painting,Gamecock
Painting,Garden of Lin Benyuan
Painting,Gateway of Shinto Shrine
Painting,Gaze
Painting,Girl and Flower
Painting,Girl at Rest
Painting,Girl by a Window
Painting,Girl from Danan Village
Painting,Girl from Kōtō-sho (Lanyu)
Painting,Goats
Painting,Grazing
Painting,Great Autumn Wind
Painting,Greenhouse
Painting,Greenhouse_2
Painting,Group Image (16)
Painting,Hangzhou - SB19: 34
Painting,Hangzhou Landscape
Painting,Harbor
Painting,Hill
Painting,Home
Painting,Hotel Courtyard
Painting,Human Form
Painting,Huqiu Mountain of Suzhou
Painting,Image of a Taiwanese Woman
Painting,Interior
Painting,Interior of Painting Studio
Painting,Interior_2
Painting,Island in Spring
Painting,Jiantan Temple
Painting,Jiaoban Mountain Path
Painting,Kaoshiung Scenery
Painting,"Keyuan Garden, Souzhou"
Painting,Knitting
Painting,Knitting_2
Painting,Koo’s Family Old House in Lukang - SB31: 41.1
Painting,Lady at Knitting
Painting,Lakeside in Early Autumn
Painting,Landscape
Painting,Landscape Sketch (106) - SB13 (33.5-34.9)
Painting,Landscape Sketch (107) - SB13: 34.8.3
Painting,Landscape Sketch (202) - SB30 (40.10-41.7)
Painting,Leafy Shade
Painting,Leisurely Day
Painting,Linlang Mountain Hall
Painting,Little Brother
Painting,Little Girl Holding a Basket
Painting,Longshan Temple
Painting,Looking Towards Tamsui from Shihzihtou - SB20: 35.11.29
Painting,Looking towards Zhuluo City (Chiayi)
Painting,Looking Towards Zhuluo City (Chiayi) SB13: 34.8.21
Painting,Lookout to Asakusa
Painting,Look toward Xinbeitou
Painting,Lotus Pond
Painting,Lumber Factory
Painting,Man Reclining under Light
Painting,Manchuria Scenery
Painting,Market
Painting,Matsu Temple
Painting,Meandering Pass
Painting,Meditation
Painting,Memories of Home
Painting,Morning
Painting,Morning at Biantian Temple
Painting,Morning Mist
Painting,Morning Mist_2
Painting,Morning_2
Painting,Morning_3
Painting,Morning_4
Painting,Mother and Child
Painting,Mr. Satou the Boxer
Painting,Ms. K
Painting,Ms. Ximeng
Painting,Mulberry Fruit
Painting,Museum in Autumn
Painting,Musical Score
Painting,My Family
Painting,Myougi Mountain
Painting,Myougi Mountain_2
Painting,Nanzhi Xiangshe
Painting,National Museum
Painting,Near the Water Source
Painting,Nijubashi Bridge
Painting,Nude
Painting,Nude Chinese Female
Painting,Nude Female Lying and Resting by the Pond
Painting,Nude_2
Painting,Nude_3
Painting,Old Artist
Painting,Orchid Fragance
Painting,Outside Chiayi Street
Painting,Outskirts of Fuzhou
Painting,Outskirts of Hsinchu
Painting,Outskirts of Taichung
Painting,Oxbow Lake
Painting,Painting Studio
Painting,Pandanus
Painting,Peaceful Southern Country
Painting,Pearl Jewelry
Painting,Peony
Painting,People of the Sea
Painting,Pinghe Village
Painting,Pomegrenate
Painting,Poppy Flower
Painting,Portrait
Painting,Portrait of a Man
Painting,Portrait of Grandmother
Painting,Portrait of Mr. Yamagawa
Painting,Portrait Of The Little Jin
Painting,Portrait_2
Painting,Pose
Painting,Puji Temple at Putuo Mountain
Painting,Qiantang River
Painting,Rain Showers
Painting,Reading
Painting,Reclining Female Nude - 32.1 (45)
Painting,Reclining Female Nude - 32.5.29 (63)
Painting,Red Cliff
Painting,Red Dress
Painting,Reminiscing on Days Past
Painting,Remnant snow capped Mt. Jade
Painting,Rest
Painting,Rice-Pounding Song
Painting,Riverside
Painting,Riverside of La Seine
Painting,Rose
Painting,"Scene in Moliets, France"
Painting,Scenery from the Yearend
Painting,Scenery with Coconut Trees
Painting,Scenic View of Guanyin Mountain
Painting,School in the South
Painting,Seashore
Painting,Season of Fresh Verdure
Painting,Seated Female Nude - 32.1 (103)
Painting,Seated Figure by a Window
Painting,Seated Nude - 32.1 (27)
Painting,Seated Nude (129)
Painting,Self-pity
Painting,Self-Portrait
Painting,Self-Portrait_2
Painting,Serenity
Painting,Shaddocks
Painting,Shanghai Dock
Painting,Shantou in Winter
Painting,Short Break
Painting,Showers in the Mountain
Painting,Sin-Lau
Painting,Sin-Lau in Tainan - SB30: 41
Painting,Sin-Lau  - SB30: 41.7.5
Painting,Snow on Mt. Jade
Painting,Snow-Capped Mt. Jade
Painting,Snowy Landscape
Painting,Snowy Town
Painting,Sound of Waves
Painting,Southbound Fleet
Painting,Southern Country River Shore
Painting,Southern Country Street Scene
Painting,Southern Country Sunset
Painting,Southern Gate
Painting,Spring at Ali Mountain
Painting,Spring at West Lake
Painting,Spring at West Lake_2
Painting,Spring Day
Painting,Spring in Jiangnan
Painting,Standing Female Nude - 32.2.14 (49)
Painting,Standing Female Nude (56)
Painting,Star Lily
Painting,Stare
Painting,Still Life
Painting,Still Life_2
Painting,Still Life_3
Painting,Still Life_4
Painting,Still Life_5
Painting,Still Life_6
Painting,Still Life on a Table
Painting,Still Life on a Table_2
Painting,Stream
Painting,Street
Painting,Street Scene on a Summer Day
Painting,Street_2
Painting,Streets
Painting,Strolling
Painting,Sugar Cane
Painting,Summer
Painting,Summer Morning
Painting,Sunlight glint off the Lake
Painting,Sunrise
Painting,Sunrise at Mt. Jade
Painting,Sunset at the Pine Residence
Painting,Sunset in Tamsui
Painting,Sunshine after the Rain
Painting,Tainan Confucian Temple
Painting,Tainan Confucian Temple_2
Painting,Tainan Confucian Temple_3
Painting,Taipei Bridge
Painting,Taipei East Gate
Painting,Taiwan Scenary
Painting,Taiwan Scenery_2
Painting,Taiwanese Flower
Painting,Tamkang at Dusk
Painting,Tamsui - SB18: 34.12.1
Painting,Tamsui after Rain
