Artist Label,Number of Works
Chen Cheng-po,174
Yang San-lang,35
Liao Chi-chun,30
Li Shih-chiao,25
Chen Jin,24
Lin Yu-shan,22
Li Mei-shu,21
Chen Zhi-qi,13
Kinichiro Ishikawa,13
Yan Shui-long,13
Keigetsu Matsubayashi,11
Pan Yu-liang,6
Itaru Tanabe,5
Pu Tian-sheng,3
Saburosuke Okada,2
Chen Yao-qi,2
Ikuma Arishima,1
Hisashi Tsuzi,1
Wu Wen-long,1
Zhou Yuan-zhu,1
Chen Bi-nu,1
Lin Qiong-xian,1
Pan Zang-hua,1
Huang Tu-shui,1
Chen Yu-yi,1
Katuyuki  Nabei,1
Kiyomaru Hiromoto,1
Lin Jing-shan,1
Reiichi Yokoi,1
Yang Rui-cong,1
