Exhibition Type,Editions in Taiwan,International Editions
http://linkedart.ascdc.tw/lod/ontology#TaiwanProvincialArtExhibition,29,0
http://linkedart.ascdc.tw/lod/ontology#OtherExhibition,8,14
http://linkedart.ascdc.tw/lod/ontology#JapanMinistryofEducationArtExhibition,0,18
http://linkedart.ascdc.tw/lod/ontology#TaiwanArtExhibition,0,12
http://linkedart.ascdc.tw/lod/ontology#Tai-YangArtExhibition,0,10
http://linkedart.ascdc.tw/lod/ontology#KofukaiExhibition,0,9
http://linkedart.ascdc.tw/lod/ontology#ImperialArtExhibition,0,8
http://linkedart.ascdc.tw/lod/ontology#SyunyokaiArtExhibition,0,6
http://linkedart.ascdc.tw/lod/ontology#TaiwanViceroyArtExhibition,0,6
http://linkedart.ascdc.tw/lod/ontology#HakujitsukaiExhibition,0,4
http://linkedart.ascdc.tw/lod/ontology#KaijushaExhibition,0,4
http://linkedart.ascdc.tw/lod/ontology#NikaExhibition,0,3
http://linkedart.ascdc.tw/lod/ontology#PrinceShotokuCommemorativeArtExhibition,0,2
http://linkedart.ascdc.tw/lod/ontology#SalondAutomne,0,2
http://linkedart.ascdc.tw/lod/ontology#TaiheiyoPaintingSocietyExhibition,0,2
http://linkedart.ascdc.tw/lod/ontology#YiyuanPaintingInstituteExhibition,0,2
