Person 1,Relationship,Person 2
http://linkedart.ascdc.tw/lod/Person/PR0115,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0143
http://linkedart.ascdc.tw/lod/Person/PR0077,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0009
http://linkedart.ascdc.tw/lod/Person/PR0095,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0442
http://linkedart.ascdc.tw/lod/Person/PR0023,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0041
http://linkedart.ascdc.tw/lod/Person/PR0013,http://vocab.getty.edu/ontology#ulan1541_spouse_of,http://linkedart.ascdc.tw/lod/Person/PR0114
http://linkedart.ascdc.tw/lod/Person/PR0412,http://vocab.getty.edu/ontology#ulan1541_spouse_of,http://linkedart.ascdc.tw/lod/Person/PR0058
http://linkedart.ascdc.tw/lod/Person/PR0059,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0485
http://linkedart.ascdc.tw/lod/Person/PR0204,http://vocab.getty.edu/ontology#ulan1541_spouse_of,http://linkedart.ascdc.tw/lod/Person/PR0001
http://linkedart.ascdc.tw/lod/Person/PR0463,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0467
http://linkedart.ascdc.tw/lod/Person/PR0010,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0086
http://linkedart.ascdc.tw/lod/Person/PR0120,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0007
http://linkedart.ascdc.tw/lod/Person/PR0165,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0009
http://linkedart.ascdc.tw/lod/Person/PR0123,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0115
http://linkedart.ascdc.tw/lod/Person/PR0009,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0163
http://linkedart.ascdc.tw/lod/Person/PR0209,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0439
http://linkedart.ascdc.tw/lod/Person/PR0102,http://vocab.getty.edu/ontology#ulan1541_spouse_of,http://linkedart.ascdc.tw/lod/Person/PR0100
http://linkedart.ascdc.tw/lod/Person/PR0095,http://vocab.getty.edu/ontology#ulan1541_spouse_of,http://linkedart.ascdc.tw/lod/Person/PR0443
http://linkedart.ascdc.tw/lod/Person/PR0440,http://vocab.getty.edu/ontology#ulan1541_spouse_of,http://linkedart.ascdc.tw/lod/Person/PR0209
http://linkedart.ascdc.tw/lod/Person/PR0023,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0007
http://linkedart.ascdc.tw/lod/Person/PR0037,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0003
http://linkedart.ascdc.tw/lod/Person/PR0054,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0011
http://linkedart.ascdc.tw/lod/Person/PR0005,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0015
http://linkedart.ascdc.tw/lod/Person/PR0006,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0130
http://linkedart.ascdc.tw/lod/Person/PR0493,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0079
http://linkedart.ascdc.tw/lod/Person/PR0233,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0001
http://linkedart.ascdc.tw/lod/Person/PR0150,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0008
http://linkedart.ascdc.tw/lod/Person/PR0211,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0459
http://linkedart.ascdc.tw/lod/Person/PR0095,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0001
http://linkedart.ascdc.tw/lod/Person/PR0188,http://vocab.getty.edu/ontology#ulan1550_relative_by_marriage,http://linkedart.ascdc.tw/lod/Person/PR0137
http://linkedart.ascdc.tw/lod/Person/PR0008,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0147
http://linkedart.ascdc.tw/lod/Person/PR0144,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0205
http://linkedart.ascdc.tw/lod/Person/PR0095,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0444
http://linkedart.ascdc.tw/lod/Person/PR0009,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0166
http://linkedart.ascdc.tw/lod/Person/PR0003,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0102
http://linkedart.ascdc.tw/lod/Person/PR0095,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0293
http://linkedart.ascdc.tw/lod/Person/PR0093,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0469
http://linkedart.ascdc.tw/lod/Person/PR0496,http://vocab.getty.edu/ontology#ulan1541_spouse_of,http://linkedart.ascdc.tw/lod/Person/PR0079
http://linkedart.ascdc.tw/lod/Person/PR0210,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0300
http://linkedart.ascdc.tw/lod/Person/PR0467,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0463
http://linkedart.ascdc.tw/lod/Person/PR0083,http://vocab.getty.edu/ontology#ulan1541_spouse_of,http://linkedart.ascdc.tw/lod/Person/PR0004
http://linkedart.ascdc.tw/lod/Person/PR0173,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0172
http://linkedart.ascdc.tw/lod/Person/PR0008,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0052
http://linkedart.ascdc.tw/lod/Person/PR0116,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0159
http://linkedart.ascdc.tw/lod/Person/PR0079,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0394
http://linkedart.ascdc.tw/lod/Person/PR0009,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0038
http://linkedart.ascdc.tw/lod/Person/PR0058,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0014
http://linkedart.ascdc.tw/lod/Person/PR0068,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0012
http://linkedart.ascdc.tw/lod/Person/PR0093,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0290
http://linkedart.ascdc.tw/lod/Person/PR0012,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0076
http://linkedart.ascdc.tw/lod/Person/PR0497,http://vocab.getty.edu/ontology#ulan1541_spouse_of,http://linkedart.ascdc.tw/lod/Person/PR0079
http://linkedart.ascdc.tw/lod/Person/PR0284,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0210
