Place,Country,Latitude,Longitude
Fujian,China,26,118
Hangzhou,China,30.3,120.1167
Jiangsu,China,31.7500 ,120.25
Nanjing,China,32.05,118.7833
Shanghai Shi,China,31.2333,121.4667
Wujin,China,31.7833,119.95
Yangzhou,China,32.3667,119.366
France,France,46.0000 ,2
Lyon,France,45.75,4.5833
Paris,France,48.8667,2.3333
Italy,Italy,42.8333,12.8333
Rome,Italy,41.9,12.4833
Japan,Japan,36,138
Kamakura,Japan,35.3167,139.55
Kyoto,Japan,35.2543,135.4412
Osaka,Japan,34.6667,135.5
Saga,Japan,33.2667,130.3
Shibuya,Japan,35.6667,139.7
Tokyo,Japan,35.75,139.5
Hengke,Taiwan,25.0493,121.6173
Jiayi,Taiwan,23.4772,120.4453 
Mengjia,Taiwan,25.127,121.4521
Nangang,Taiwan,25.0545,121.6014
Nantou,Taiwan,23.8342,120.927
Pingdong,Taiwan,22.4956,120.6144
Ruifang,Taiwan,25.1085,121.8054 
Sanxia,Taiwan,24.9345,121.3714
Shuishang,Taiwan,23.4333, 120.4167
Tai-chung,Taiwan,24.1469,120.6839
Tainan,Taiwan,23.1503,120.3419
Taipei,Taiwan,25.047,121.525
Taishan,Taiwan,25.05,121.4167 
Tamsui,Taiwan,25.172,121.4429
Wangxi,Taiwan, 25.0127, 121.5195
Xiangshan,Taiwan,24.7994,120.9403
Xiaying,Taiwan,23.2344,120.262
Xinbei,Taiwan,24.946,121.581
Xinzhu,Taiwan,24.8147,120.9672
Yonghe,Taiwan,25.0046,121.5208
Zhanghua,Taiwan,23.9536,120.4908
