Subject URI,Subject Label
http://linkedart.ascdc.tw/lod/Subject/SB0001,academic style
http://linkedart.ascdc.tw/lod/Subject/SB0002,Antiques
http://linkedart.ascdc.tw/lod/Subject/SB0003,Appliances
http://linkedart.ascdc.tw/lod/Subject/SB0004,Arch Bridge
http://linkedart.ascdc.tw/lod/Subject/SB0005,arched verandah
http://linkedart.ascdc.tw/lod/Subject/SB0006,Architectural drawings
http://linkedart.ascdc.tw/lod/Subject/SB0007,Architecture
http://linkedart.ascdc.tw/lod/Subject/SB0008,art school
http://linkedart.ascdc.tw/lod/Subject/SB0009,artist
http://linkedart.ascdc.tw/lod/Subject/SB0010,Automobiles
http://linkedart.ascdc.tw/lod/Subject/SB00100,Prints
http://linkedart.ascdc.tw/lod/Subject/SB00101,puppies
http://linkedart.ascdc.tw/lod/Subject/SB00102,roof
http://linkedart.ascdc.tw/lod/Subject/SB00103,roundabout
http://linkedart.ascdc.tw/lod/Subject/SB00104,ruin
http://linkedart.ascdc.tw/lod/Subject/SB00105,Sculptures
http://linkedart.ascdc.tw/lod/Subject/SB00106,signboard
http://linkedart.ascdc.tw/lod/Subject/SB00107,sketch
http://linkedart.ascdc.tw/lod/Subject/SB00108,snow
http://linkedart.ascdc.tw/lod/Subject/SB00109,son
http://linkedart.ascdc.tw/lod/Subject/SB0011,autumn
http://linkedart.ascdc.tw/lod/Subject/SB00110,spire
http://linkedart.ascdc.tw/lod/Subject/SB00111,staffage
http://linkedart.ascdc.tw/lod/Subject/SB00112,statue
http://linkedart.ascdc.tw/lod/Subject/SB00113,street vender
http://linkedart.ascdc.tw/lod/Subject/SB00114,streetlamp
http://linkedart.ascdc.tw/lod/Subject/SB00115,streetscapes
http://linkedart.ascdc.tw/lod/Subject/SB00116,summit
http://linkedart.ascdc.tw/lod/Subject/SB00117,sunset
http://linkedart.ascdc.tw/lod/Subject/SB00118,suspension bridges
http://linkedart.ascdc.tw/lod/Subject/SB00119,temple
http://linkedart.ascdc.tw/lod/Subject/SB0012,balcony
http://linkedart.ascdc.tw/lod/Subject/SB00120,townscapes painting
http://linkedart.ascdc.tw/lod/Subject/SB00121,war
http://linkedart.ascdc.tw/lod/Subject/SB00122,war memorial
http://linkedart.ascdc.tw/lod/Subject/SB00123,Watercolors
http://linkedart.ascdc.tw/lod/Subject/SB00124,watercolors painting
http://linkedart.ascdc.tw/lod/Subject/SB00125,woods
http://linkedart.ascdc.tw/lod/Subject/SB00126,writing brush
http://linkedart.ascdc.tw/lod/Subject/SB00127,Zeppelins
http://linkedart.ascdc.tw/lod/Subject/SB0013,balustrade
http://linkedart.ascdc.tw/lod/Subject/SB0014,beach
http://linkedart.ascdc.tw/lod/Subject/SB0015,big chimney
http://linkedart.ascdc.tw/lod/Subject/SB0016,bijinga
http://linkedart.ascdc.tw/lod/Subject/SB0017,Boat
http://linkedart.ascdc.tw/lod/Subject/SB0018,book
http://linkedart.ascdc.tw/lod/Subject/SB0019,boy
http://linkedart.ascdc.tw/lod/Subject/SB0020,broken bridge
http://linkedart.ascdc.tw/lod/Subject/SB0021,Building materials
http://linkedart.ascdc.tw/lod/Subject/SB0022,Calligraphy
http://linkedart.ascdc.tw/lod/Subject/SB0023,campus
http://linkedart.ascdc.tw/lod/Subject/SB0024,canal
http://linkedart.ascdc.tw/lod/Subject/SB0025,canvas
http://linkedart.ascdc.tw/lod/Subject/SB0026,Christian school
http://linkedart.ascdc.tw/lod/Subject/SB0027,church
http://linkedart.ascdc.tw/lod/Subject/SB0028,church spire
http://linkedart.ascdc.tw/lod/Subject/SB0029,cityscapes painting
http://linkedart.ascdc.tw/lod/Subject/SB0030,clothes drying rack
http://linkedart.ascdc.tw/lod/Subject/SB0031,CochinPottery
http://linkedart.ascdc.tw/lod/Subject/SB0032,crane
http://linkedart.ascdc.tw/lod/Subject/SB0033,distemper
http://linkedart.ascdc.tw/lod/Subject/SB0034,dock
http://linkedart.ascdc.tw/lod/Subject/SB0035,domes
http://linkedart.ascdc.tw/lod/Subject/SB0036,Drawings
http://linkedart.ascdc.tw/lod/Subject/SB0037,dye workshop
http://linkedart.ascdc.tw/lod/Subject/SB0038,egret
http://linkedart.ascdc.tw/lod/Subject/SB0039,electric pole
http://linkedart.ascdc.tw/lod/Subject/SB0040,family
http://linkedart.ascdc.tw/lod/Subject/SB0041,family portrait
http://linkedart.ascdc.tw/lod/Subject/SB0042,family scene
http://linkedart.ascdc.tw/lod/Subject/SB0043,fan
http://linkedart.ascdc.tw/lod/Subject/SB0044,farm
http://linkedart.ascdc.tw/lod/Subject/SB0045,farmer
http://linkedart.ascdc.tw/lod/Subject/SB0046,farmhouse
http://linkedart.ascdc.tw/lod/Subject/SB0047,father and son
http://linkedart.ascdc.tw/lod/Subject/SB0048,fine art museum
http://linkedart.ascdc.tw/lod/Subject/SB0049,fishing
http://linkedart.ascdc.tw/lod/Subject/SB0050,flame tree
http://linkedart.ascdc.tw/lod/Subject/SB0051,flying eave
http://linkedart.ascdc.tw/lod/Subject/SB0052,fountain
http://linkedart.ascdc.tw/lod/Subject/SB0053,garden
http://linkedart.ascdc.tw/lod/Subject/SB0054,Gouaches
http://linkedart.ascdc.tw/lod/Subject/SB0055,grandmother
http://linkedart.ascdc.tw/lod/Subject/SB0056,group portraits
http://linkedart.ascdc.tw/lod/Subject/SB0057,gutter
http://linkedart.ascdc.tw/lod/Subject/SB0058,half figure portrait
http://linkedart.ascdc.tw/lod/Subject/SB0059,hat
http://linkedart.ascdc.tw/lod/Subject/SB0060,head accessory
http://linkedart.ascdc.tw/lod/Subject/SB0061,historical building
http://linkedart.ascdc.tw/lod/Subject/SB0062,historical residence
http://linkedart.ascdc.tw/lod/Subject/SB0063,hospital
http://linkedart.ascdc.tw/lod/Subject/SB0064,Imperial Palace
http://linkedart.ascdc.tw/lod/Subject/SB0065,industrial landscapes
http://linkedart.ascdc.tw/lod/Subject/SB0066,ink
http://linkedart.ascdc.tw/lod/Subject/SB0067,inkstone
http://linkedart.ascdc.tw/lod/Subject/SB0068,Japanese colonial hospital building
http://linkedart.ascdc.tw/lod/Subject/SB0069,Japanese national fla
http://linkedart.ascdc.tw/lod/Subject/SB0070,kimono
http://linkedart.ascdc.tw/lod/Subject/SB0071,lake
http://linkedart.ascdc.tw/lod/Subject/SB0072,landmark building
